ID,X,Y,Tipo
1,64.67,122.95,Interior
2,64.67,200.89,Interior
3,87.17,83.98,Interior
4,109.67,122.95,Interior
5,109.67,200.89,Interior
6,132.17,83.98,Interior
7,154.67,122.95,Interior
8,177.17,239.86,Interior
9,199.67,122.95,Interior
10,199.67,200.89,Interior
11,222.17,161.92,Interior
12,222.17,239.86,Interior
13,244.67,122.95,Interior
14,244.67,200.89,Interior
15,244.67,278.83,Interior
16,267.17,161.92,Interior
17,267.17,239.86,Interior
18,289.67,200.89,Interior
19,289.67,278.83,Interior
20,312.17,161.92,Interior
21,312.17,239.86,Interior
22,334.67,200.89,Interior
23,134.29,232.34,BordeAux
24,286.89,129.59,BordeAux
25,348.30,231.57,BordeAux
