X,Y,Tipo
64.66527345766949,122.94736228839639,Interior
64.66527345766949,200.88964862899587,Interior
87.16527345766949,83.97621911809665,Interior
109.66527345766949,122.94736228839639,Interior
109.66527345766949,200.88964862899587,Interior
132.16527345766949,83.97621911809665,Interior
154.66527345766949,122.94736228839639,Interior
177.16527345766949,239.8607917992956,Interior
199.66527345766949,122.94736228839639,Interior
199.66527345766949,200.88964862899587,Interior
222.16527345766949,161.91850545869613,Interior
222.16527345766949,239.8607917992956,Interior
244.66527345766949,122.94736228839639,Interior
244.66527345766949,200.88964862899587,Interior
244.66527345766949,278.83193496959535,Interior
267.1652734576695,161.91850545869613,Interior
267.1652734576695,239.8607917992956,Interior
289.6652734576695,200.88964862899587,Interior
289.6652734576695,278.83193496959535,Interior
312.1652734576695,161.91850545869613,Interior
312.1652734576695,239.8607917992956,Interior
334.6652734576695,200.88964862899587,Interior
134.29492226469955,232.33823386038597,BordeAux
286.8856877677698,129.59342148509978,BordeAux
348.30423418990375,231.5656650209573,BordeAux
